student_id,assignment_id,assignment_type,num_questions,difficulty,days_until_due,date_assigned,date_submitted,time_spent_minutes,num_work_sessions,completed_on_time,submitted_late_days,prior_completion_rate,prior_avg_grade,prior_avg_homework_time
S140,A8,reading,19,4,3,2026-02-17,2026-02-20,45.5,1,1,0,0.73,100.0,39.1
S117,A16,worksheet,5,5,4,2026-01-09,2026-01-17,65.7,1,0,4,0.8,60.0,49.5
S147,A7,quiz_prep,20,4,6,2026-01-06,2026-01-15,73.9,1,0,3,0.79,91.0,65.6
S137,A28,reading,8,2,1,2026-01-02,2026-01-02,28.5,1,1,0,1.0,79.0,49.5
S105,A14,worksheet,12,4,3,2026-02-02,2026-02-03,38.4,1,1,0,0.93,72.8,42.1
S138,A2,quiz_prep,18,4,6,2026-01-13,2026-01-14,71.7,2,1,0,0.75,90.6,40.3
S145,A35,essay,17,1,1,2026-01-15,2026-01-19,60.8,2,0,3,0.91,93.9,48.9
S128,A38,coding,12,1,4,2026-02-21,2026-02-23,48.5,3,1,0,0.87,82.5,32.3
S100,A11,essay,5,3,3,2026-01-22,2026-01-24,59.6,2,1,0,0.76,92.8,33.9
S117,A10,worksheet,8,4,6,2026-02-18,2026-02-27,44.1,2,0,3,0.82,79.7,25.0
S121,A7,reading,6,3,2,2026-01-25,2026-01-26,28.9,3,1,0,0.79,81.8,25.2
S106,A23,coding,11,4,6,2026-02-08,2026-02-13,64.7,1,1,0,0.87,93.5,26.9
S116,A3,essay,5,5,3,2026-02-04,2026-02-04,66.0,1,1,0,0.9,83.3,42.1
S107,A25,reading,11,4,2,2026-02-05,2026-02-06,46.2,1,1,0,0.85,74.3,30.1
S118,A40,coding,5,5,1,2026-02-06,2026-02-06,55.4,1,1,0,0.88,100.0,59.7
S112,A5,reading,24,5,2,2026-02-12,2026-02-12,64.4,2,1,0,0.93,97.2,36.1
S114,A19,reading,24,3,4,2026-02-24,2026-02-24,63.8,1,1,0,0.92,75.5,34.6
S114,A7,essay,12,2,1,2026-01-18,2026-01-18,65.1,1,1,0,1.0,77.2,36.8
S129,A24,worksheet,21,4,2,2026-01-24,2026-01-26,58.3,1,1,0,0.88,92.8,27.6
S122,A14,coding,24,1,3,2026-02-14,2026-02-14,78.5,2,1,0,0.96,87.9,32.9
S143,A5,quiz_prep,5,4,4,2026-02-10,2026-02-10,40.2,2,1,0,0.72,84.7,53.4
S110,A35,worksheet,23,5,6,2026-01-11,2026-01-15,111.8,2,1,0,1.0,97.1,45.4
S129,A25,coding,20,4,3,2026-03-01,2026-03-03,98.4,1,1,0,0.85,83.6,38.8
S140,A36,worksheet,7,1,2,2026-02-13,2026-02-15,26.9,1,1,0,0.79,96.0,36.6
S120,A4,worksheet,14,3,2,2026-02-22,2026-02-24,64.8,1,1,0,0.94,95.7,30.4
S102,A21,essay,11,5,1,2026-01-18,2026-01-18,84.1,4,1,0,0.8,79.4,38.7
S104,A14,quiz_prep,21,1,4,2026-02-26,2026-03-01,30.7,1,1,0,0.8,95.9,40.6
S145,A21,worksheet,24,5,6,2026-02-11,2026-02-12,72.9,1,1,0,0.9,77.3,44.2
S131,A26,essay,13,5,4,2026-01-10,2026-01-14,110.0,1,1,0,0.7,81.6,41.8
S116,A9,worksheet,20,4,3,2026-02-17,2026-02-18,77.0,2,1,0,1.0,81.6,31.8
S135,A35,coding,14,5,6,2026-02-17,2026-02-23,93.1,3,1,0,0.82,90.2,71.9
S137,A28,quiz_prep,22,4,3,2026-01-26,2026-01-29,77.5,3,1,0,0.9,87.3,37.3
S123,A15,worksheet,15,2,4,2026-02-02,2026-02-08,37.9,1,0,2,0.8,87.1,48.8
S131,A6,reading,22,2,5,2026-02-25,2026-03-03,36.1,2,0,1,0.68,88.6,45.8
S107,A10,worksheet,21,3,3,2026-02-20,2026-02-20,59.5,3,1,0,0.98,79.1,45.5
S143,A28,quiz_prep,13,3,6,2026-01-05,2026-01-08,34.1,1,1,0,0.94,81.7,72.5
S124,A25,quiz_prep,13,4,3,2026-01-30,2026-02-02,79.7,1,1,0,0.89,83.8,38.0
S133,A17,quiz_prep,24,1,3,2026-02-25,2026-02-25,39.0,1,1,0,0.81,92.7,46.7
S100,A8,quiz_prep,15,3,3,2026-02-18,2026-02-18,64.3,2,1,0,0.86,85.8,37.4
S117,A22,reading,9,5,6,2026-01-19,2026-01-23,47.6,2,1,0,0.94,95.6,42.4
S127,A11,essay,8,4,6,2026-01-01,2026-01-02,78.0,2,1,0,0.65,100.0,37.0
S146,A17,quiz_prep,11,1,1,2026-02-18,2026-02-19,12.0,1,1,0,0.93,89.9,40.9
S111,A33,reading,10,5,2,2026-02-25,2026-02-25,51.0,2,1,0,0.85,88.9,37.3
S140,A20,quiz_prep,22,1,1,2026-02-08,2026-02-08,55.0,3,1,0,0.74,80.7,58.6
S112,A10,coding,16,3,2,2026-02-18,2026-02-19,62.8,1,1,0,0.84,79.0,36.9
S110,A35,quiz_prep,9,4,1,2026-02-28,2026-02-28,63.0,1,1,0,0.79,88.4,58.8
S100,A39,coding,18,5,3,2026-02-01,2026-02-06,101.6,1,0,2,0.84,91.5,47.8
S101,A8,coding,22,1,1,2026-02-26,2026-02-26,54.8,3,1,0,0.82,67.9,53.5
S119,A16,reading,20,5,6,2026-01-16,2026-01-21,70.2,1,1,0,0.85,85.5,35.5
S136,A6,reading,5,4,1,2026-02-16,2026-02-16,40.4,4,1,0,0.76,76.7,37.0
S131,A5,quiz_prep,16,2,1,2026-02-19,2026-02-20,37.4,1,1,0,0.89,98.4,13.9
S108,A9,essay,6,4,6,2026-02-05,2026-02-10,82.4,1,1,0,0.92,67.7,54.4
S110,A17,quiz_prep,19,1,4,2026-02-25,2026-03-01,46.5,1,1,0,0.95,88.3,39.9
S138,A28,worksheet,15,5,3,2026-03-01,2026-03-03,67.4,1,1,0,0.89,88.7,30.6
S134,A13,coding,22,3,5,2026-01-26,2026-02-02,68.9,1,0,2,0.91,79.7,27.2
S142,A24,essay,18,2,2,2026-02-27,2026-03-01,63.5,2,1,0,0.75,100.0,40.4
S133,A29,reading,21,5,2,2026-01-16,2026-01-17,59.4,2,1,0,0.91,92.6,34.7
S114,A5,coding,17,2,2,2026-01-02,2026-01-02,55.6,2,1,0,0.77,93.7,44.7
S137,A36,worksheet,14,5,1,2026-02-07,2026-02-07,79.8,4,1,0,0.79,74.2,56.9
S114,A1,reading,19,2,1,2026-02-15,2026-02-15,41.1,2,1,0,0.79,69.8,28.6
S140,A4,worksheet,10,5,5,2026-01-05,2026-01-13,58.7,2,0,3,0.81,82.6,35.4
S102,A22,reading,8,3,6,2026-02-02,2026-02-03,38.9,2,1,0,0.94,77.8,34.7
S115,A18,essay,17,3,4,2026-01-14,2026-01-14,55.8,1,1,0,0.79,75.0,42.8
S134,A9,quiz_prep,15,5,4,2026-02-06,2026-02-14,63.9,1,0,4,0.93,78.5,40.5
S130,A16,essay,17,2,2,2026-02-21,2026-02-23,82.7,1,1,0,0.93,73.7,45.3
S126,A13,reading,16,5,2,2026-01-07,2026-01-10,61.0,2,0,1,0.87,79.9,27.6
S142,A28,coding,13,3,5,2026-01-28,2026-02-02,57.5,2,1,0,0.9,89.8,34.3
S126,A30,reading,22,1,6,2026-02-13,2026-02-13,34.6,3,1,0,0.82,66.3,36.5
S141,A7,reading,18,2,5,2026-01-26,2026-01-29,28.8,2,1,0,0.62,99.3,52.1
S146,A22,reading,11,4,3,2026-01-16,2026-01-16,41.7,1,1,0,0.97,94.7,47.2
S112,A13,quiz_prep,14,3,1,2026-01-29,2026-01-30,45.5,2,1,0,0.98,80.6,35.7
S108,A28,worksheet,8,4,2,2026-01-18,2026-01-20,50.9,2,1,0,0.84,96.8,43.6
S129,A16,reading,18,2,3,2026-01-29,2026-02-05,53.2,2,0,4,0.82,80.6,46.4
S135,A7,reading,21,2,4,2026-02-11,2026-02-13,45.4,1,1,0,0.87,78.7,35.0
S134,A1,reading,19,5,1,2026-03-01,2026-03-02,39.6,1,1,0,0.96,79.2,48.5
S148,A16,worksheet,21,3,3,2026-01-27,2026-02-03,61.4,1,0,4,0.57,73.7,38.5
S131,A31,worksheet,21,1,5,2026-02-25,2026-02-25,26.7,1,1,0,0.76,77.8,40.8
S125,A4,worksheet,12,4,1,2026-01-25,2026-01-26,50.2,2,1,0,0.74,78.2,41.5
S100,A25,coding,21,5,5,2026-03-01,2026-03-02,79.4,3,1,0,1.0,73.9,53.9
S150,A30,coding,5,4,5,2026-01-28,2026-01-31,70.1,1,1,0,0.85,83.5,45.3
S144,A36,essay,11,2,5,2026-01-10,2026-01-10,40.6,1,1,0,0.69,88.4,40.3
S112,A19,worksheet,19,1,2,2026-01-04,2026-01-04,40.8,2,1,0,0.9,93.1,30.6
S137,A35,reading,18,5,2,2026-02-17,2026-02-17,70.3,1,1,0,0.99,92.7,43.3
S120,A4,reading,6,2,3,2026-02-07,2026-02-09,16.9,3,1,0,0.95,80.2,50.2
S130,A33,quiz_prep,16,4,1,2026-01-11,2026-01-11,62.8,2,1,0,0.88,85.4,26.7
S103,A33,reading,11,5,1,2026-02-24,2026-02-25,64.2,3,1,0,0.68,75.0,58.5
S111,A5,quiz_prep,14,5,4,2026-01-05,2026-01-06,75.7,1,1,0,0.89,68.0,50.3
S143,A16,essay,12,3,2,2026-01-08,2026-01-09,83.9,2,1,0,0.79,84.0,63.0
S136,A16,quiz_prep,18,2,2,2026-02-08,2026-02-10,45.8,1,1,0,0.86,82.8,48.2
S102,A40,reading,5,5,2,2026-01-27,2026-01-29,48.4,2,1,0,0.91,72.7,41.5
S142,A38,quiz_prep,13,2,2,2026-02-03,2026-02-05,57.6,1,1,0,0.85,100.0,33.7
S120,A17,worksheet,21,3,5,2026-02-12,2026-02-16,63.3,1,1,0,0.78,84.3,46.2
S145,A21,worksheet,9,1,6,2026-01-17,2026-01-21,22.9,1,1,0,0.8,91.3,24.7
S125,A9,coding,11,1,6,2026-01-30,2026-02-05,34.1,2,1,0,0.86,74.2,50.5
S120,A5,reading,22,3,3,2026-01-30,2026-02-01,30.3,1,1,0,0.98,98.0,49.0
S139,A37,reading,11,4,1,2026-01-05,2026-01-06,18.7,2,1,0,0.98,97.3,48.4
S134,A14,quiz_prep,14,3,2,2026-01-17,2026-01-19,45.4,1,1,0,0.91,83.3,39.8
S108,A23,reading,9,4,1,2026-02-26,2026-02-26,50.7,1,1,0,0.83,84.9,38.7
S115,A24,coding,20,1,1,2026-01-11,2026-01-12,42.0,1,1,0,0.85,87.3,55.5
S128,A35,coding,10,4,6,2026-02-09,2026-02-10,83.2,3,1,0,0.93,100.0,33.4
S141,A34,reading,6,3,1,2026-02-12,2026-02-13,36.9,3,1,0,0.9,90.1,27.5
S135,A20,reading,7,1,3,2026-02-26,2026-03-02,31.9,3,0,1,0.79,87.0,24.8
S108,A17,reading,13,3,3,2026-02-26,2026-02-27,49.3,2,1,0,0.9,83.0,30.9
S106,A36,worksheet,22,2,6,2026-01-18,2026-01-19,18.2,1,1,0,0.75,91.9,29.4
S118,A39,worksheet,12,3,2,2026-02-15,2026-02-15,51.1,1,1,0,0.69,89.6,42.4
S121,A14,coding,15,5,5,2026-02-02,2026-02-11,104.7,1,0,4,0.82,75.7,45.9
S131,A17,reading,11,3,2,2026-01-06,2026-01-08,31.0,2,1,0,1.0,88.4,32.2
S140,A28,coding,17,2,3,2026-01-03,2026-01-04,58.2,2,1,0,0.86,87.5,55.8
S100,A22,worksheet,8,5,4,2026-02-10,2026-02-10,63.7,1,1,0,0.83,81.0,36.4
S116,A11,essay,7,3,4,2026-02-05,2026-02-07,56.3,3,1,0,1.0,78.7,38.3
S145,A28,quiz_prep,6,2,6,2026-01-01,2026-01-09,38.9,1,0,2,0.73,83.2,46.5
S107,A5,worksheet,7,3,1,2026-02-04,2026-02-05,39.4,2,1,0,0.92,82.8,28.5
S102,A24,quiz_prep,9,3,3,2026-02-05,2026-02-09,36.8,2,0,1,0.94,82.9,32.9
S109,A28,worksheet,20,4,3,2026-01-03,2026-01-06,77.1,2,1,0,1.0,87.7,37.7
S119,A24,reading,16,3,5,2026-02-27,2026-03-02,27.4,2,1,0,1.0,100.0,43.7
S122,A14,worksheet,6,5,3,2026-02-12,2026-02-13,49.6,3,1,0,0.78,83.8,28.2
S106,A23,quiz_prep,17,3,1,2026-02-26,2026-02-27,56.0,2,1,0,0.94,93.5,36.8
S126,A40,worksheet,5,2,2,2026-03-01,2026-03-02,17.5,1,1,0,1.0,82.5,33.2
S115,A11,worksheet,22,2,2,2026-02-26,2026-02-27,46.5,3,1,0,0.99,94.2,40.6
S126,A2,worksheet,11,3,3,2026-02-17,2026-02-24,45.5,3,0,4,0.91,100.0,51.7
S121,A27,worksheet,18,2,3,2026-01-18,2026-01-19,58.3,2,1,0,0.75,79.7,46.2
S110,A7,essay,7,3,4,2026-02-25,2026-02-25,47.3,1,1,0,0.65,71.3,35.3
S102,A31,worksheet,24,5,5,2026-01-13,2026-01-13,89.5,3,1,0,0.94,92.7,71.0
S129,A23,coding,6,4,2,2026-02-22,2026-02-22,71.7,2,1,0,0.8,68.7,34.3
S150,A15,worksheet,12,2,5,2026-01-02,2026-01-07,22.6,1,1,0,0.92,77.8,56.6
S142,A13,essay,19,4,6,2026-01-22,2026-01-25,105.4,1,1,0,0.97,100.0,48.8
S117,A5,coding,7,2,5,2026-01-23,2026-01-28,36.9,1,1,0,0.96,77.9,24.4
S141,A33,essay,13,4,1,2026-02-13,2026-02-15,80.9,2,0,1,0.65,91.5,26.1
S134,A22,reading,9,3,5,2026-01-08,2026-01-11,47.8,1,1,0,0.97,84.1,43.6
S116,A12,quiz_prep,13,2,5,2026-01-17,2026-01-23,33.3,1,0,1,0.85,86.5,35.2
S102,A7,quiz_prep,23,1,6,2026-01-28,2026-01-29,55.4,2,1,0,0.86,89.5,38.7
S122,A21,essay,24,5,2,2026-02-08,2026-02-12,135.0,1,0,2,0.64,77.7,45.1
S132,A8,essay,19,5,6,2026-02-27,2026-02-27,121.4,2,1,0,0.94,90.0,41.5
